,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,114.29125146865844,1.6322961733200156,0.016958951950073242,0.0012605696641475007,logistic,0.0001,sgd,"{'activation': 'logistic', 'learning_rate_init': 0.0001, 'solver': 'sgd'}",0.873,0.862,0.867,0.88,0.854,0.8671999999999999,0.00893084542470645,11
34,10.862785816192627,1.0540463181872546,0.017853164672851564,0.0014239446482757798,relu,0.0001,sgd,"{'activation': 'relu', 'learning_rate_init': 0.0001, 'solver': 'sgd'}",0.858,0.824,0.849,0.854,0.842,0.8453999999999999,0.011959933110180853,12
36,63.8304461479187,14.946998819308767,0.013530206680297852,0.0037066007309768468,relu,0.001,sgd,"{'activation': 'relu', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.852,0.788,0.811,0.825,0.848,0.8248,0.023760471375795532,13
32,50.27438206672669,2.811288919134942,0.016667509078979494,0.002926231114282574,relu,1e-05,sgd,"{'activation': 'relu', 'learning_rate_init': 1e-05, 'solver': 'sgd'}",0.815,0.813,0.818,0.824,0.829,0.8197999999999999,0.005912698199637798,14
35,26.32739019393921,1.0564869839607602,0.01831846237182617,0.0017203860386038336,relu,0.0001,adam,"{'activation': 'relu', 'learning_rate_init': 0.0001, 'solver': 'adam'}",0.823,0.828,0.811,0.811,0.812,0.817,0.007127411872482138,15
33,124.74980082511902,4.075150253920311,0.016961956024169923,0.0022785759356150743,relu,1e-05,adam,"{'activation': 'relu', 'learning_rate_init': 1e-05, 'solver': 'adam'}",0.822,0.83,0.81,0.809,0.811,0.8164,0.008260750571225309,16
22,10.030225133895874,1.619973969266055,0.015198898315429688,0.0025868380076300174,tanh,0.01,sgd,"{'activation': 'tanh', 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.834,0.798,0.795,0.823,0.797,0.8093999999999999,0.016007498243010954,17
7,9.572738981246948,1.6041475465096704,0.0219419002532959,0.003510816910976491,logistic,0.01,adam,"{'activation': 'logistic', 'learning_rate_init': 0.01, 'solver': 'adam'}",0.814,0.754,0.85,0.798,0.815,0.8062000000000001,0.031140969798643055,18
18,114.37865877151489,5.88202654260486,0.016358137130737305,0.001354899981630402,tanh,0.0001,sgd,"{'activation': 'tanh', 'learning_rate_init': 0.0001, 'solver': 'sgd'}",0.803,0.777,0.804,0.801,0.771,0.7912000000000001,0.014204224723651775,19
0,109.15150928497314,7.550967915251568,0.01781291961669922,0.0006886164108860784,logistic,1e-05,sgd,"{'activation': 'logistic', 'learning_rate_init': 1e-05, 'solver': 'sgd'}",0.757,0.737,0.77,0.763,0.753,0.756,0.011099549540409297,20
17,128.54874019622804,2.004216996854477,0.015963411331176756,0.001092338543277938,tanh,1e-05,adam,"{'activation': 'tanh', 'learning_rate_init': 1e-05, 'solver': 'adam'}",0.762,0.746,0.757,0.759,0.728,0.7504,0.012435433245367862,21
23,7.227964878082275,1.9680486681544784,0.018188667297363282,0.0007851012296026598,tanh,0.01,adam,"{'activation': 'tanh', 'learning_rate_init': 0.01, 'solver': 'adam'}",0.755,0.723,0.72,0.725,0.735,0.7316,0.012737346662472537,22
8,3.935388517379761,1.107242221380213,0.022540187835693358,0.0016196427520919373,logistic,0.1,sgd,"{'activation': 'logistic', 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.715,0.675,0.688,0.732,0.635,0.6890000000000001,0.03357975580614009,23
9,5.320161533355713,1.5551013558501559,0.022445154190063477,0.0033117183052536964,logistic,0.1,adam,"{'activation': 'logistic', 'learning_rate_init': 0.1, 'solver': 'adam'}",0.606,0.612,0.654,0.623,0.662,0.6314,0.02253530563360526,24
